PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType
Reviewed,Reviewed,10,Olga,Norway,Budget Twin Room,1,Jun-22,Solo traveler
Reviewed,Not Reviewed,10,Iwona,Poland,Double Room,3,Dec-22,Family
Reviewed,Not Reviewed,8,Ruijia,Sweden,Double Room,1,Dec-22,Solo traveler
Reviewed,Not Reviewed,9,Theprincem,United Kingdom,Double Room with Balcony,2,Sep-22,Solo traveler
Reviewed,Not Reviewed,10,M,Switzerland,Family Suite with Balcony,1,Oct-22,Family
Reviewed,Not Reviewed,9,Kim,United Kingdom,Double Room with Balcony,1,Dec-22,Couple
Reviewed,Not Reviewed,8,Emma,United Kingdom,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Reviewed,10,Yuriy,Cyprus,Double Room,1,Nov-22,Couple
Reviewed,Reviewed,10,Hanna,Israel,Double Room,1,Nov-22,Family
Reviewed,Not Reviewed,10,Nicholas,United Kingdom,Double Room,1,Dec-22,Solo traveler
Reviewed,Not Reviewed,10,J,Thailand,Double Room with Balcony,3,Dec-22,Family
Reviewed,Reviewed,10,Heidi,United Kingdom,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,10,Ofira,United States of America,Two-Bedroom Suite,7,Dec-22,Couple
Reviewed,Reviewed,8,Damir,Bosnia and Herzegovina,Double Room,1,Nov-22,Couple
Reviewed,Reviewed,9,Thomas,United Kingdom,Double Room with Balcony,1,Dec-22,Couple
Reviewed,Not Reviewed,10,Sorin,United Kingdom,Double Room with Balcony,7,Nov-22,Group
Reviewed,Reviewed,10,Miriam,Germany,Double Room with Balcony,1,Nov-22,Couple
Reviewed,Reviewed,9,Thomas,United Kingdom,Double Room with Balcony,1,Nov-22,Couple
Reviewed,Not Reviewed,8,Antti,Finland,Double Room with Balcony,1,Oct-22,Couple
Reviewed,Not Reviewed,10,Ward,Israel,Budget Twin Room,4,Nov-22,Solo traveler
Reviewed,Not Reviewed,10,Carolina,Netherlands,Double Room with Balcony,4,Nov-22,Solo traveler
Reviewed,Reviewed,9,Sonya,United Kingdom,Double Room with Balcony,2,Nov-22,Solo traveler
Reviewed,Not Reviewed,9,Jacqueline,Italy,Two-Bedroom Suite,1,Nov-22,Family
Reviewed,Not Reviewed,10,Sophia,Greece,Double Room,1,Nov-22,Family
Reviewed,Not Reviewed,10,Judit,Hungary,Budget Twin Room,1,Nov-22,Family
Reviewed,Reviewed,10,J,Thailand,Double Room with Balcony,1,Nov-22,Family
Reviewed,Reviewed,10,Theresa,Cyprus,Double Room with Balcony,1,Nov-22,Couple
Reviewed,Reviewed,9,Sisakyan,Armenia,Double Room,1,Nov-22,Family
Reviewed,Reviewed,9,Paraskevou,United States of America,Double Room with Balcony,1,Nov-22,Couple
Reviewed,Reviewed,10,Karen,United Kingdom,Double Room,1,Nov-22,Couple
Reviewed,Reviewed,10,Helen,United Kingdom,Double Room with Balcony,2,Nov-22,Couple
Reviewed,Reviewed,10,Christina,Canada,Double Room with Balcony,2,Nov-22,Solo traveler
Reviewed,Reviewed,10,Vasyl,Ukraine,Double Room with Balcony,4,Nov-22,Solo traveler
Reviewed,Reviewed,8,David,United Kingdom,Suite with Balcony,2,Nov-22,Group
Not Reviewed,Reviewed,8,G,Cyprus,Double Room,1,Nov-22,Family
Reviewed,Reviewed,8,Victoria,Cyprus,Budget Twin Room,4,Oct-22,Couple
Reviewed,Reviewed,9,Tim,United Kingdom,Double Room with Balcony,1,Nov-22,Couple
Reviewed,Not Reviewed,10,Rebecca,United Kingdom,Two-Bedroom Suite,1,Nov-22,Group
Reviewed,Not Reviewed,8,Aleksandr,Turkey,Two-Bedroom Suite,1,Oct-22,Solo traveler
Reviewed,Reviewed,8,Paulo,Portugal,Double Room with Balcony,3,Oct-22,Solo traveler
Reviewed,Reviewed,9,Anastasia,United Kingdom,Double Room with Balcony,1,Oct-22,Couple
Reviewed,Reviewed,10,Joseph,Lebanon,Double Room with Balcony,5,Oct-22,Solo traveler
Reviewed,Not Reviewed,8,Chahrazade,United Kingdom,Double Room,1,Oct-22,Solo traveler
Reviewed,Reviewed,8,Moyra,United Kingdom,Double Room with Balcony,1,Oct-22,Solo traveler
Reviewed,Reviewed,10,James,Ireland,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,10,Ronen,Israel,Double Room with Balcony,1,Oct-22,Couple
Reviewed,Not Reviewed,9,Derek,United Kingdom,Double Room,1,Oct-22,Group
Reviewed,Not Reviewed,9,M,Switzerland,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,9,Yafit,Israel,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Reviewed,10,Sneaky,Cyprus,Double Room,1,Oct-22,Family
Reviewed,Not Reviewed,10,Mauricio,United States of America,Two-Bedroom Suite,1,Oct-22,Group
Reviewed,Reviewed,10,Hamidreza,Austria,Double Room with Balcony,1,Oct-22,Family
Reviewed,Not Reviewed,10,Karina,Poland,Double Room,2,Oct-22,Solo traveler
Reviewed,Not Reviewed,10,Nikos,Cyprus,Double Room with Balcony,1,Oct-22,Family
Reviewed,Reviewed,9,Kateryna,Cyprus,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,10,Ahmed,Belgium,Double Room with Balcony,1,Oct-22,Solo traveler
Reviewed,Not Reviewed,10,Samuel,United States of America,Double Room with Balcony,1,Oct-22,Couple
Reviewed,Reviewed,8,Itay,Israel,Double Room with Balcony,1,Oct-22,Family
Reviewed,Reviewed,8,Edward,United Kingdom,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,10,Clare,United Kingdom,Double Room with Balcony,1,Sep-22,Family
Reviewed,Reviewed,8,Stuart,United Kingdom,Double Room,1,Oct-22,Couple
Reviewed,Reviewed,9,Lydia,Israel,Standard Triple Room,1,Oct-22,Family
Reviewed,Reviewed,10,Philip,United Arab Emirates,Budget Twin Room,2,Oct-22,Solo traveler
Reviewed,Reviewed,10,Nataliya,Israel,Double Room,1,Oct-22,Couple
Reviewed,Reviewed,10,Joshua,United Kingdom,Double Room with Balcony,9,Oct-22,Couple
Reviewed,Not Reviewed,9,Oonagh,Cyprus,Double Room,1,Oct-22,Couple
Reviewed,Reviewed,8,Chouity,Qatar,Budget Twin Room,2,Oct-22,Solo traveler
Reviewed,Not Reviewed,10,Julie,United Kingdom,Double Room,1,Oct-22,Solo traveler
Reviewed,Not Reviewed,10,Ynaiim,Lebanon,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,10,Sally,United Kingdom,Double Room with Balcony,3,Oct-22,Family
Reviewed,Reviewed,10,Voko,Hungary,Double Room,2,Sep-22,Couple
Reviewed,Not Reviewed,9,Michael,Lebanon,Double Room,1,Oct-22,Solo traveler
Reviewed,Not Reviewed,10,Mads,Denmark,Double Room with Balcony,1,Sep-22,Solo traveler
