Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
Staff is extremely helpful and easy to communicate with 
Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,10.0,Olga,Norway,Budget Twin Room,1 night,June 2022,Solo traveler,
It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,10.0,Iwona,Poland,Double Room,3 nights,December 2022,Family,
Very Good,the location is great and near the airport. bus stop is very close.,,8.0,Ruijia,Sweden,Double Room,1 night,December 2022,Solo traveler,
Wonderful,"Great stuff
Great Quality/price
Clean",,9.0,Theprincem,United Kingdom,Double Room with Balcony,2 nights,September 2022,Solo traveler,
"Fantastic value for a new, modern and spotless hotel with lovely management","Clean and modern with very comfortable beds, in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.",,10.0,M,Switzerland,Family Suite with Balcony,1 night,October 2022,Family,
Wonderful,We only stayed over night before heading to the airport. The room was exceptionally clean with a really comfortable bed,,9.0,Kim,United Kingdom,Double Room with Balcony,1 night,December 2022,Couple,
lovely stop over,great,,8.0,Emma,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
great place for few days to stay,"nice location, lovely personal, renovated,",nothing,10.0,Yuriy,Cyprus,Double Room,1 night,November 2022,Couple,
such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),maybe possibility of purchasing fresh fruit or veg,10.0,Hanna,Israel,Double Room,1 night,November 2022,Family,
Great overnight stay before a flight.,Great modern room comfortable bed and quiet location.,,10.0,Nicholas,United Kingdom,Double Room,1 night,December 2022,Solo traveler,
Exceptional,"My second time here and true to say it was better than the first which was excellent..
The staff here are amazing beyond expectations..*****
Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
Oh yeah the food is great to and very reasonable prices ..
Even the cleaning lady is so friendly and so nice to talk to .
The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
The owners are also great it's like a real caring family set up ...
The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
Brilliant guys ... 🙏🙏🙏",,10.0,J,Thailand,Double Room with Balcony,3 nights,December 2022,Family,Thank you so much for all your nice comments. It was our pleasure hosting you another time. Hope to see you again soon.
"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,10.0,Heidi,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,10.0,Ofira,United States of America,Two-Bedroom Suite,7 nights,December 2022,Couple,
Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",8.0,Damir,Bosnia and Herzegovina,Double Room,1 night,November 2022,Couple,
"Friendly, family run hotel with excellent kitchen","Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.
The staff make it - particularly reception and the dining room.","Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",9.0,Thomas,United Kingdom,Double Room with Balcony,1 night,December 2022,Couple,
